1550 , 15.81 , 2022-02-23 13:36:52.232945408-05:00 , AMC
1900 , 15.82 , 2022-02-23 13:37:52.725664-05:00 , AMC
907 , 15.83 , 2022-02-23 13:38:11.841842688-05:00 , AMC
850 , 15.87 , 2022-02-23 13:44:00.163399538-05:00 , AMC
1328 , 15.85 , 2022-02-23 13:46:52.877858-05:00 , AMC
1600 , 15.88 , 2022-02-23 13:47:31.895829-05:00 , AMC
600 , 15.84 , 2022-02-23 13:48:07.110946304-05:00 , AMC
1008 , 15.91 , 2022-02-23 13:50:23.570259456-05:00 , AMC
1796 , 15.95 , 2022-02-23 13:50:40.025307-05:00 , AMC
793 , 15.84 , 2022-02-23 13:53:23.240678088-05:00 , AMC
537 , 15.83 , 2022-02-23 13:54:51.399503-05:00 , AMC
546 , 15.8 , 2022-02-23 13:55:21.468547584-05:00 , AMC
509 , 15.74 , 2022-02-23 14:31:25.102584-05:00 , AMC
1562 , 15.79 , 2022-02-23 14:33:19.754366464-05:00 , AMC
1758 , 15.76 , 2022-02-23 14:34:19.032366592-05:00 , AMC
1000 , 15.06 , 2022-02-24 09:30:34.305561920-05:00 , AMC
1669 , 15.0 , 2022-02-24 09:31:36.495291392-05:00 , AMC
2161 , 15.03 , 2022-02-24 09:31:48.741192960-05:00 , AMC
1300 , 15.3 , 2022-02-24 09:32:33.246333952-05:00 , AMC
3668 , 15.37 , 2022-02-24 09:32:59.779158-05:00 , AMC
1000 , 15.32 , 2022-02-24 09:33:09.182307584-05:00 , AMC
720 , 15.3 , 2022-02-24 09:33:20.701491968-05:00 , AMC
2515 , 15.3 , 2022-02-24 09:33:47.698951-05:00 , AMC
2000 , 15.29 , 2022-02-24 09:33:54.825881-05:00 , AMC
700 , 15.24 , 2022-02-24 09:34:49.109087232-05:00 , AMC
1100 , 15.25 , 2022-02-24 09:35:00.893799424-05:00 , AMC
1600 , 15.2 , 2022-02-24 09:35:23.677643520-05:00 , AMC
2000 , 15.25 , 2022-02-24 09:35:52.315366027-05:00 , AMC
534 , 15.29 , 2022-02-24 09:36:04.152287-05:00 , AMC
958 , 15.49 , 2022-02-24 09:37:20.227804-05:00 , AMC
991 , 15.53 , 2022-02-24 09:37:31.724787284-05:00 , AMC
1050 , 15.58 , 2022-02-24 09:37:36.332092160-05:00 , AMC
3068 , 15.63 , 2022-02-24 09:37:54.457612-05:00 , AMC
987 , 15.69 , 2022-02-24 09:38:40.804376-05:00 , AMC
600 , 15.76 , 2022-02-24 09:39:39.335552127-05:00 , AMC
9900 , 15.79 , 2022-02-24 09:40:05.939910651-05:00 , AMC
534 , 15.65 , 2022-02-24 09:40:18.941695744-05:00 , AMC
600 , 15.62 , 2022-02-24 09:40:32.495130368-05:00 , AMC
667 , 15.5 , 2022-02-24 09:40:42.869033-05:00 , AMC
1341 , 15.49 , 2022-02-24 09:40:49.936961280-05:00 , AMC
750 , 15.48 , 2022-02-24 09:40:58.574047488-05:00 , AMC
600 , 15.48 , 2022-02-24 09:41:05.193037-05:00 , AMC
858 , 15.48 , 2022-02-24 09:41:18.180046229-05:00 , AMC
583 , 15.5 , 2022-02-24 09:41:29.393649-05:00 , AMC
1900 , 15.49 , 2022-02-24 09:41:39.746018560-05:00 , AMC
792 , 15.43 , 2022-02-24 09:42:07.335469-05:00 , AMC
1000 , 15.44 , 2022-02-24 09:42:28.279786-05:00 , AMC
524 , 15.37 , 2022-02-24 09:42:56.455362048-05:00 , AMC
595 , 15.4 , 2022-02-24 09:43:18.123774976-05:00 , AMC
564 , 15.31 , 2022-02-24 09:43:21.202807040-05:00 , AMC
945 , 15.31 , 2022-02-24 09:43:24.328204288-05:00 , AMC
915 , 15.29 , 2022-02-24 09:43:35.678201088-05:00 , AMC
600 , 15.3 , 2022-02-24 09:43:49.874719-05:00 , AMC
826 , 15.3 , 2022-02-24 09:44:01.112871-05:00 , AMC
600 , 15.42 , 2022-02-24 09:44:46.733338855-05:00 , AMC
1800 , 15.41 , 2022-02-24 09:44:58.370896640-05:00 , AMC
800 , 15.42 , 2022-02-24 09:45:19.787599361-05:00 , AMC
1900 , 15.48 , 2022-02-24 09:45:38.389328-05:00 , AMC
1913 , 15.4 , 2022-02-24 09:45:50.375924-05:00 , AMC
700 , 15.44 , 2022-02-24 09:46:22.013375744-05:00 , AMC
1200 , 15.55 , 2022-02-24 09:46:50.242614-05:00 , AMC
900 , 15.55 , 2022-02-24 09:47:00.513354140-05:00 , AMC
976 , 15.53 , 2022-02-24 09:47:07.915137686-05:00 , AMC
764 , 15.52 , 2022-02-24 09:47:13.601812-05:00 , AMC
600 , 15.45 , 2022-02-24 09:48:00.595751936-05:00 , AMC
513 , 15.54 , 2022-02-24 09:48:28.709923-05:00 , AMC
1270 , 15.5 , 2022-02-24 09:48:40.968472-05:00 , AMC
600 , 15.51 , 2022-02-24 09:48:49.318043-05:00 , AMC
3295 , 15.62 , 2022-02-24 09:49:27.809746-05:00 , AMC
879 , 15.59 , 2022-02-24 09:50:12.361540-05:00 , AMC
600 , 15.57 , 2022-02-24 09:50:42.437674-05:00 , AMC
670 , 15.58 , 2022-02-24 09:51:00.435559281-05:00 , AMC
600 , 15.54 , 2022-02-24 09:51:09.464697-05:00 , AMC
800 , 15.47 , 2022-02-24 09:51:39.710911232-05:00 , AMC
954 , 15.54 , 2022-02-24 09:52:10.147447296-05:00 , AMC
900 , 15.55 , 2022-02-24 09:53:14.317062-05:00 , AMC
2100 , 15.57 , 2022-02-24 09:53:33.484000-05:00 , AMC
1261 , 15.65 , 2022-02-24 09:54:22.620536-05:00 , AMC
1300 , 15.59 , 2022-02-24 09:54:58.157246464-05:00 , AMC
4000 , 15.56 , 2022-02-24 09:55:04.726186090-05:00 , AMC
600 , 15.5 , 2022-02-24 09:55:14.273150-05:00 , AMC
