,open,high,low,close,volume,rsi
2022-02-11 09:30:00-06:00,36.21670150756836,36.52000045776367,36.130001068115234,36.224998474121094,408132,38.40381807659898
2022-02-11 09:35:00-06:00,36.22999954223633,36.43000030517578,36.099998474121094,36.31999969482422,240571,41.27015948504009
2022-02-11 09:40:00-06:00,36.34000015258789,36.43000030517578,36.150001525878906,36.20000076293945,190534,38.81326140997714
2022-02-11 09:45:00-06:00,36.20000076293945,36.380001068115234,35.926700592041016,36.130001068115234,335292,37.41403190377742
2022-02-11 09:50:00-06:00,36.130001068115234,36.130001068115234,35.77000045776367,35.83000183105469,368764,32.07687936570071
2022-02-11 09:55:00-06:00,35.810001373291016,35.90999984741211,35.709999084472656,35.80500030517578,449626,31.671395709562226
2022-02-11 10:00:00-06:00,35.79999923706055,35.87990188598633,35.709999084472656,35.77000045776367,322999,31.079106143770186
2022-02-11 10:05:00-06:00,35.75,35.75299835205078,35.310001373291016,35.369998931884766,507470,25.264092233222435
2022-02-11 10:10:00-06:00,35.375,35.400001525878906,35.11000061035156,35.19990158081055,743243,23.27019467905181
2022-02-11 10:15:00-06:00,35.18000030517578,35.34000015258789,35.130001068115234,35.27989959716797,323780,26.21941741908811
2022-02-11 10:20:00-06:00,35.279998779296875,35.47999954223633,35.125,35.125,270131,24.273884796471226
2022-02-11 10:25:00-06:00,35.124698638916016,35.18000030517578,34.619998931884766,34.73500061035156,736379,20.20813977184263
2022-02-11 10:30:00-06:00,34.7400016784668,34.86000061035156,34.512001037597656,34.53990173339844,593401,18.535576780426688
2022-02-11 10:35:00-06:00,34.53499984741211,34.609100341796875,34.404998779296875,34.554500579833984,523961,19.075318019178717
2022-02-11 10:40:00-06:00,34.540000915527344,34.560001373291016,34.290000915527344,34.369998931884766,466762,17.49748967636623
2022-02-11 10:45:00-06:00,34.369998931884766,34.779998779296875,34.33000183105469,34.75,519040,30.287424837974537
2022-02-11 10:50:00-06:00,34.75,34.81999969482422,34.599998474121094,34.810001373291016,401335,32.07792024631784
2022-02-11 10:55:00-06:00,34.810001373291016,34.83000183105469,34.56999969482422,34.57500076293945,259513,28.942533529605974
2022-02-11 11:00:00-06:00,34.56999969482422,34.720001220703125,34.5099983215332,34.650001525878906,194644,31.252075590596558
2022-02-11 11:05:00-06:00,34.637901306152344,34.959999084472656,34.54999923706055,34.94499969482422,245098,39.571550741908034
2022-02-11 11:10:00-06:00,34.95000076293945,35.005001068115234,34.84000015258789,34.929901123046875,255177,39.30935029056745
2022-02-11 11:15:00-06:00,34.927101135253906,35.189998626708984,34.81999969482422,34.88999938964844,575606,38.581782883242916
2022-02-11 11:20:00-06:00,34.88600158691406,34.88600158691406,34.720001220703125,34.849998474121094,249298,37.82594269028526
2022-02-11 11:25:00-06:00,34.849998474121094,34.900001525878906,34.7599983215332,34.875,267313,38.635129470500615
2022-02-11 11:30:00-06:00,34.869998931884766,34.95500183105469,34.779998779296875,34.84000015258789,248651,37.891652643918675
2022-02-11 11:35:00-06:00,34.84000015258789,35.0,34.720001220703125,34.955501556396484,190808,41.867329980942344
2022-02-11 11:40:00-06:00,34.95650100708008,34.959999084472656,34.81010055541992,34.81999969482422,123027,38.734733794197695
2022-02-11 11:45:00-06:00,34.83000183105469,34.83000183105469,34.58000183105469,34.59000015258789,208537,34.07433641165778
2022-02-11 11:50:00-06:00,34.59000015258789,34.61000061035156,34.369998931884766,34.400001525878906,162893,30.779786092997647
2022-02-11 11:55:00-06:00,34.41999816894531,34.45429992675781,34.279998779296875,34.32500076293945,244554,29.564605757527122
2022-02-11 12:00:00-06:00,34.310001373291016,34.45000076293945,34.279998779296875,34.34000015258789,220674,30.15846226233724
2022-02-11 12:05:00-06:00,34.345001220703125,34.7400016784668,34.30889892578125,34.72999954223633,290959,43.49771753080068
2022-02-11 12:09:18-06:00,34.627201080322266,34.627201080322266,34.627201080322266,34.627201080322266,0,41.26073729216457
